Item_Identifier,Item_Weight,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,regular,Supermarket Type1,Supermarket Type2,Supermarket Type3,food,non-consumable
food,9.895,117.0492,OUT013,0,2,810.9444,35,1,1,1,0,0,1,0
food,10.895,196.3794,OUT017,1,1,3121.2704,15,2,0,1,0,0,1,0
non-consumable,12.15,151.4708,OUT017,1,1,4815.0656,15,1,0,1,0,0,0,1
food,7.905,249.0408,OUT018,1,2,6258.52,13,1,0,0,1,0,1,0
non-consumable,9.195,106.1622,OUT045,1,1,2117.244,20,1,0,1,0,0,0,1
drinks,8.365,38.0506,OUT049,1,0,796.9626,23,2,0,1,0,0,0,0
food,15.1,194.511,OUT046,2,0,4910.275,25,0,0,1,0,0,1,0
food,12.792854228644991,180.0344,OUT019,2,0,892.172,37,1,0,0,0,0,1,0
food,10.0,246.9144,OUT018,1,2,3185.1872,13,1,0,0,1,0,1,0
food,7.97,87.3514,OUT045,1,1,1062.6168,20,1,1,1,0,0,1,0
food,12.792854228644991,38.2848,OUT027,1,2,484.7024,37,1,0,0,0,1,1,0
food,12.792854228644991,51.0692,OUT019,2,0,147.8076,37,0,1,0,0,0,1,0
food,12.792854228644991,255.8356,OUT027,1,2,2543.356,37,1,0,0,0,1,1,0
food,19.35,172.5738,OUT035,2,1,4865.6664,18,1,0,1,0,0,1,0
food,13.65,186.024,OUT045,1,1,1118.544,20,2,1,1,0,0,1,0
drinks,17.6,164.8526,OUT045,1,1,2302.3364,20,1,0,1,0,0,0,0
non-consumable,8.645,95.841,OUT046,2,0,2027.361,25,0,0,1,0,0,0,1
food,15.6,170.1764,OUT046,2,0,3435.528,25,2,1,1,0,0,1,0
food,15.85,59.222,OUT013,0,2,599.22,35,2,1,1,0,0,1,0
food,18.25,164.7526,OUT045,1,1,4604.6728,20,1,0,1,0,0,1,0
food,7.855,189.6188,OUT017,1,1,2285.0256,15,1,0,1,0,0,1,0
non-consumable,7.825,254.3698,OUT049,1,0,5580.7356,23,0,0,1,0,0,0,1
food,8.39,114.0176,OUT046,2,0,2290.352,25,1,1,1,0,0,1,0
food,12.85,172.3422,OUT049,1,0,1207.0954,23,1,0,1,0,0,1,0
food,12.792854228644991,89.9804,OUT019,2,0,643.1628,37,2,0,0,0,0,1,0
food,19.0,104.9622,OUT017,1,1,1587.933,15,2,0,1,0,0,1,0
food,5.905,222.5456,OUT045,1,1,5305.0944,20,1,0,1,0,0,1,0
food,7.76,101.87,OUT046,2,0,1697.79,25,1,0,1,0,0,1,0
food,11.8,180.3344,OUT046,2,0,1427.4752,25,1,1,1,0,0,1,0
food,16.75,187.9556,OUT018,1,2,4693.89,13,1,0,0,1,0,1,0
food,12.792854228644991,171.3764,OUT027,1,2,3091.9752,37,1,1,0,0,1,1,0
food,15.5,177.0028,OUT017,1,1,2479.4392,15,2,1,1,0,0,1,0
food,6.055,160.992,OUT035,2,1,2716.464,18,1,0,1,0,0,1,0
food,12.792854228644991,155.963,OUT027,1,2,3285.723,37,1,1,0,0,1,1,0
food,6.305,95.6436,OUT046,2,0,661.8052,25,2,1,1,0,0,1,0
food,20.85,117.2808,OUT049,1,0,1523.3504,23,1,0,1,0,0,1,0
food,20.75,122.173,OUT010,1,2,369.519,24,1,0,0,0,0,1,0
drinks,8.895,39.9138,OUT049,1,0,690.4346,23,2,0,1,0,0,0,0
drinks,19.6,55.1614,OUT045,1,1,1381.535,20,1,0,1,0,0,0,0
food,19.7,57.893,OUT035,2,1,622.523,18,1,0,1,0,0,1,0
non-consumable,9.8,114.5492,OUT035,2,1,1274.3412,18,1,0,1,0,0,0,1
food,12.792854228644991,120.0414,OUT019,2,0,487.3656,37,1,0,0,0,0,1,0
food,12.15,246.046,OUT049,1,0,1231.73,23,0,0,1,0,0,1,0
food,8.75,187.4556,OUT035,2,1,3755.112,18,2,1,1,0,0,1,0
non-consumable,12.792854228644991,149.9708,OUT027,1,2,4363.6532,37,1,0,0,0,1,0,1
food,8.75,187.8556,OUT046,2,0,1314.2892,25,2,1,1,0,0,1,0
food,13.3,151.0708,OUT045,1,1,1805.6496,20,1,0,1,0,0,1,0
food,12.792854228644991,178.5344,OUT027,1,2,2854.9504,37,1,1,0,0,1,1,0
food,8.31,179.1028,OUT049,1,0,3896.2616,23,2,1,1,0,0,1,0
drinks,16.75,38.7822,OUT013,0,2,667.7974,35,1,1,1,0,0,0,0
food,19.75,212.0902,OUT018,1,2,3185.853,13,1,0,0,1,0,1,0
food,17.1,141.1838,OUT013,0,2,2247.7408,35,1,1,1,0,0,1,0
food,10.5,163.121,OUT013,0,2,1794.331,35,2,1,1,0,0,1,0
food,6.635,121.3098,OUT045,1,1,2530.7058,20,1,1,1,0,0,1,0
drinks,14.15,41.4138,OUT013,0,2,812.276,35,1,0,1,0,0,0,0
food,13.3,232.53,OUT046,2,0,699.09,25,2,0,1,0,0,1,0
food,8.89,102.4016,OUT017,1,1,2732.4432,15,1,0,1,0,0,1,0
food,12.792854228644991,176.937,OUT019,2,0,176.437,37,1,1,0,0,0,1,0
food,12.792854228644991,121.7098,OUT027,1,2,4097.3332,37,2,0,0,0,1,1,0
food,9.1,173.2054,OUT045,1,1,3151.8972,20,1,1,1,0,0,1,0
food,7.5,239.0906,OUT049,1,0,5942.265,23,1,0,1,0,0,1,0
food,16.85,192.4478,OUT017,1,1,4843.695,15,0,1,1,0,0,1,0
food,7.485,109.0228,OUT035,2,1,2542.0244,18,2,0,1,0,0,1,0
drinks,11.6,140.3154,OUT017,1,1,2552.6772,15,1,0,1,0,0,0,0
food,11.65,227.0694,OUT018,1,2,1141.847,13,1,0,0,1,0,1,0
non-consumable,13.0,47.5034,OUT017,1,1,680.4476,15,1,0,1,0,0,0,1
drinks,12.65,159.0578,OUT045,1,1,2085.9514,20,1,0,1,0,0,0,0
food,20.25,92.512,OUT010,1,2,186.424,24,0,1,0,0,0,1,0
food,8.6,190.153,OUT035,2,1,3036.048,18,1,1,1,0,0,1,0
food,12.6,62.7194,OUT017,1,1,866.8716,15,1,0,1,0,0,1,0
food,17.7,95.041,OUT035,2,1,868.869,18,1,0,1,0,0,1,0
drinks,14.15,82.4276,OUT046,2,0,1137.1864,25,0,0,1,0,0,0,0
food,19.25,52.7956,OUT017,1,1,928.1252,15,2,0,1,0,0,1,0
drinks,8.88,151.7682,OUT013,0,2,762.341,35,2,0,1,0,0,0,0
non-consumable,20.5,40.2822,OUT045,1,1,707.0796,20,1,0,1,0,0,0,1
food,12.792854228644991,180.5976,OUT027,1,2,7968.2944,37,1,0,0,0,1,1,0
non-consumable,13.5,160.292,OUT046,2,0,1438.128,25,2,0,1,0,0,0,1
non-consumable,12.792854228644991,224.4404,OUT027,1,2,6976.2524,37,0,0,0,0,1,0,1
food,8.89,101.7016,OUT010,1,2,101.2016,24,1,0,0,0,0,1,0
food,7.855,188.5188,OUT018,1,2,952.094,13,1,0,0,1,0,1,0
non-consumable,7.235,116.0492,OUT046,2,0,1969.4364,25,2,0,1,0,0,0,1
food,12.792854228644991,165.4526,OUT027,1,2,5262.4832,37,1,0,0,0,1,1,0
food,6.92,60.5852,OUT045,1,1,1314.2892,20,1,0,1,0,0,1,0
food,9.3,90.8172,OUT017,1,1,535.3032,15,1,0,1,0,0,1,0
non-consumable,18.5,132.1284,OUT010,1,2,263.6568,24,1,0,0,0,0,0,1
non-consumable,8.02,154.5972,OUT035,2,1,1402.1748,18,1,0,1,0,0,0,1
non-consumable,9.195,105.1622,OUT017,1,1,1693.7952,15,1,0,1,0,0,0,1
non-consumable,12.8,105.5938,OUT045,1,1,2143.876,20,2,0,1,0,0,0,1
non-consumable,16.6,177.6344,OUT049,1,0,2676.516,23,1,0,1,0,0,0,1
food,14.0,53.064,OUT035,2,1,905.488,18,1,1,1,0,0,1,0
food,18.6,246.3802,OUT049,1,0,7370.406,23,1,0,1,0,0,1,0
food,16.0,226.8404,OUT035,2,1,6301.1312,18,1,0,1,0,0,1,0
non-consumable,17.6,160.692,OUT035,2,1,1597.92,18,2,0,1,0,0,0,1
food,21.25,178.237,OUT035,2,1,529.311,18,0,0,1,0,0,1,0
non-consumable,7.235,117.5492,OUT035,2,1,1969.4364,18,2,0,1,0,0,0,1
drinks,14.6,50.3692,OUT017,1,1,1034.6532,15,0,0,1,0,0,0,0
food,13.85,161.521,OUT018,1,2,1794.331,13,1,1,0,1,0,1,0
food,13.65,197.6426,OUT018,1,2,2768.3964,13,2,1,0,1,0,1,0
drinks,12.792854228644991,31.29,OUT027,1,2,898.83,37,1,0,0,0,1,0,0
food,7.365,226.172,OUT046,2,0,3169.208,25,1,0,1,0,0,1,0
non-consumable,18.35,223.5746,OUT018,1,2,3589.9936,13,1,0,0,1,0,0,1
food,5.465,132.5626,OUT018,1,2,262.3252,13,1,1,0,1,0,1,0
food,18.6,99.8358,OUT017,1,1,1910.1802,15,0,0,1,0,0,1,0
drinks,13.85,140.9154,OUT017,1,1,1701.7848,15,1,0,1,0,0,0,0
food,14.0,154.5656,OUT013,0,2,2471.4496,35,1,1,1,0,0,1,0
food,14.0,54.764,OUT013,0,2,1331.6,35,1,1,1,0,0,1,0
food,12.792854228644991,97.0094,OUT027,1,2,1808.9786,37,2,0,0,0,1,1,0
food,5.905,222.5456,OUT018,1,2,3315.684,13,1,0,0,1,0,1,0
drinks,7.27,114.2518,OUT046,2,0,2618.5914,25,2,0,1,0,0,0,0
food,6.155,214.556,OUT046,2,0,2769.728,25,2,1,1,0,0,1,0
drinks,19.5,233.4958,OUT017,1,1,5375.0034,15,2,1,1,0,0,0,0
food,15.2,216.8824,OUT017,1,1,2838.9712,15,1,0,1,0,0,1,0
food,12.15,125.0046,OUT018,1,2,1743.0644,13,1,1,0,1,0,1,0
non-consumable,12.792854228644991,198.8084,OUT027,1,2,5555.4352,37,1,0,0,0,1,0,1
food,12.6,61.9194,OUT018,1,2,619.194,13,1,0,0,1,0,1,0
non-consumable,14.5,164.821,OUT035,2,1,2120.573,18,1,0,1,0,0,0,1
food,16.6,173.0738,OUT017,1,1,3823.0236,15,2,0,1,0,0,1,0
food,11.8,151.4366,OUT013,0,2,1360.2294,35,1,1,1,0,0,1,0
food,13.1,178.8318,OUT013,0,2,3969.4996,35,1,1,1,0,0,1,0
food,17.85,196.5794,OUT010,1,2,585.2382,24,1,0,0,0,0,1,0
food,12.3,92.6804,OUT045,1,1,1010.6844,20,1,1,1,0,0,1,0
non-consumable,11.8,81.4618,OUT010,1,2,161.1236,24,2,0,0,0,0,0,1
drinks,12.792854228644991,42.1112,OUT019,2,0,42.6112,37,0,1,0,0,0,0,0
food,11.1,157.4604,OUT045,1,1,3010.7476,20,0,0,1,0,0,1,0
food,12.792854228644991,153.0656,OUT027,1,2,6024.1584,37,1,1,0,0,1,1,0
food,11.3,198.1426,OUT045,1,1,988.713,20,1,0,1,0,0,1,0
non-consumable,12.792854228644991,117.944,OUT019,2,0,239.688,37,2,0,0,0,0,0,1
food,5.75,112.8176,OUT013,0,2,1374.2112,35,2,1,1,0,0,1,0
food,12.792854228644991,226.8062,OUT027,1,2,4739.8302,37,1,1,0,0,1,1,0
food,11.35,100.0016,OUT018,1,2,1012.016,13,1,1,0,1,0,1,0
food,12.792854228644991,165.7526,OUT019,2,0,657.8104,37,2,1,0,0,0,1,0
non-consumable,14.0,130.431,OUT049,1,0,778.986,23,1,0,1,0,0,0,1
food,19.75,179.766,OUT045,1,1,2336.958,20,1,1,1,0,0,1,0
non-consumable,6.525,85.0882,OUT049,1,0,2233.0932,23,2,0,1,0,0,0,1
food,10.3,103.9648,OUT049,1,0,1661.8368,23,0,0,1,0,0,1,0
food,5.78,264.7568,OUT049,1,0,4745.8224,23,2,1,1,0,0,1,0
food,11.85,164.1526,OUT045,1,1,3124.5994,20,1,1,1,0,0,1,0
food,16.35,50.1324,OUT018,1,2,467.3916,13,1,0,0,1,0,1,0
non-consumable,12.792854228644991,182.5976,OUT027,1,2,5070.7328,37,1,0,0,0,1,0,1
food,10.5,37.6164,OUT046,2,0,540.6296,25,1,0,1,0,0,1,0
food,19.0,48.0718,OUT046,2,0,992.7078,25,2,1,1,0,0,1,0
non-consumable,14.6,238.8538,OUT049,1,0,6008.845,23,1,0,1,0,0,0,1
food,12.792854228644991,62.9194,OUT027,1,2,2105.2596,37,2,1,0,0,1,1,0
food,12.792854228644991,232.63,OUT027,1,2,5359.69,37,2,1,0,0,1,1,0
non-consumable,18.75,104.628,OUT045,1,1,745.696,20,1,0,1,0,0,0,1
food,5.26,161.8868,OUT035,2,1,3275.736,18,1,1,1,0,0,1,0
food,18.25,140.2154,OUT045,1,1,1701.7848,20,1,0,1,0,0,1,0
food,12.792854228644991,177.937,OUT027,1,2,6704.606,37,2,0,0,0,1,1,0
food,15.1,242.7512,OUT046,2,0,4119.9704,25,1,0,1,0,0,1,0
food,15.5,81.5934,OUT010,1,2,327.5736,24,1,1,0,0,0,1,0
food,13.65,45.7402,OUT049,1,0,780.9834,23,2,0,1,0,0,1,0
drinks,16.1,189.3846,OUT045,1,1,3630.6074,20,1,0,1,0,0,0,0
food,12.792854228644991,107.3622,OUT019,2,0,317.5866,37,1,1,0,0,0,1,0
food,12.85,39.7164,OUT010,1,2,231.6984,24,0,0,0,0,0,1,0
drinks,9.5,32.99,OUT035,2,1,133.16,18,1,0,1,0,0,0,0
drinks,13.8,245.1802,OUT035,2,1,5650.6446,18,1,0,1,0,0,0,0
food,5.78,263.7568,OUT017,1,1,2636.568,15,1,1,1,0,0,1,0
non-consumable,19.7,96.0726,OUT045,1,1,1272.3438,20,1,0,1,0,0,0,1
non-consumable,14.65,161.5552,OUT010,1,2,324.9104,24,1,0,0,0,0,0,1
food,6.67,130.0626,OUT010,1,2,131.1626,24,0,1,0,0,0,1,0
food,6.11,131.2968,OUT010,1,2,260.9936,24,1,1,0,0,0,1,0
food,13.65,260.0936,OUT010,1,2,260.9936,24,0,1,0,0,0,1,0
food,17.2,160.6578,OUT013,0,2,3690.5294,35,0,0,1,0,0,1,0
food,6.32,40.2822,OUT035,2,1,1139.1838,18,1,0,1,0,0,1,0
food,4.88,52.9298,OUT049,1,0,1995.4026,23,0,1,1,0,0,1,0
food,5.425,88.3514,OUT017,1,1,1416.8224,15,2,1,1,0,0,1,0
food,15.85,37.2506,OUT046,2,0,265.6542,25,2,1,1,0,0,1,0
food,7.5,121.7072,OUT017,1,1,3552.7088,15,1,0,1,0,0,1,0
drinks,12.65,161.5578,OUT013,0,2,2406.867,35,1,0,1,0,0,0,0
non-consumable,12.792854228644991,211.956,OUT019,2,0,213.056,37,1,0,0,0,0,0,1
food,20.75,124.173,OUT013,0,2,2956.152,35,1,0,1,0,0,1,0
drinks,12.792854228644991,152.134,OUT019,2,0,153.134,37,1,0,0,0,0,0,0
food,9.0,79.7644,OUT035,2,1,1649.8524,18,1,0,1,0,0,1,0
food,12.792854228644991,181.9292,OUT027,1,2,3101.2964,37,2,0,0,0,1,1,0
non-consumable,12.792854228644991,165.6526,OUT027,1,2,4769.1254,37,1,0,0,0,1,0,1
food,12.792854228644991,170.4764,OUT027,1,2,3435.528,37,0,1,0,0,1,1,0
food,14.1,86.4198,OUT045,1,1,1133.8574,20,2,0,1,0,0,1,0
food,7.55,152.334,OUT035,2,1,2603.278,18,1,0,1,0,0,1,0
non-consumable,13.0,45.406,OUT046,2,0,605.878,25,2,0,1,0,0,0,1
drinks,12.792854228644991,192.8846,OUT027,1,2,2293.0152,37,1,0,0,0,1,0,0
food,12.792854228644991,118.7782,OUT019,2,0,119.1782,37,2,1,0,0,0,1,0
food,12.3,92.9804,OUT013,0,2,1929.4884,35,1,1,1,0,0,1,0
food,12.792854228644991,109.8912,OUT027,1,2,2074.6328,37,2,0,0,0,1,1,0
non-consumable,12.792854228644991,79.9618,OUT027,1,2,241.6854,37,1,0,0,0,1,0,1
non-consumable,17.25,251.3724,OUT045,1,1,6795.1548,20,2,0,1,0,0,0,1
non-consumable,15.85,42.7112,OUT017,1,1,639.168,15,1,0,1,0,0,0,1
non-consumable,18.85,192.1846,OUT035,2,1,3248.4382,18,1,0,1,0,0,0,1
food,16.35,227.6062,OUT017,1,1,7222.5984,15,1,1,1,0,0,1,0
drinks,14.1,229.0668,OUT035,2,1,3225.1352,18,2,0,1,0,0,0,0
food,7.905,249.0408,OUT035,2,1,3755.112,18,1,0,1,0,0,1,0
food,12.0,179.3976,OUT013,0,2,3440.8544,35,1,0,1,0,0,1,0
food,12.15,163.4552,OUT035,2,1,974.7312,18,1,1,1,0,0,1,0
food,10.1,75.367,OUT049,1,0,535.969,23,1,0,1,0,0,1,0
food,17.5,262.491,OUT017,1,1,5259.82,15,1,0,1,0,0,1,0
drinks,12.792854228644991,152.034,OUT019,2,0,306.268,37,1,0,0,0,0,0,0
food,17.1,112.3886,OUT018,1,2,1779.0176,13,2,0,0,1,0,1,0
food,7.785,61.451,OUT049,1,0,759.012,23,2,0,1,0,0,1,0
food,11.8,125.9704,OUT013,0,2,1877.556,35,2,1,1,0,0,1,0
food,13.15,171.8764,OUT045,1,1,3779.0808,20,0,1,1,0,0,1,0
food,12.792854228644991,41.5796,OUT019,2,0,41.2796,37,0,0,0,0,0,1,0
food,8.5,51.1324,OUT017,1,1,259.662,15,2,0,1,0,0,1,0
non-consumable,8.645,96.341,OUT013,0,2,193.082,35,0,0,1,0,0,0,1
food,17.6,110.9202,OUT045,1,1,1687.803,20,2,1,1,0,0,1,0
food,9.1,127.5362,OUT017,1,1,4655.9394,15,0,0,1,0,0,1,0
food,12.8,225.9404,OUT013,0,2,4950.8888,35,1,1,1,0,0,1,0
drinks,7.63,95.4436,OUT035,2,1,1418.154,18,1,0,1,0,0,0,0
food,9.285,246.4144,OUT017,1,1,1225.072,15,1,1,1,0,0,1,0
food,13.6,231.03,OUT045,1,1,5359.69,20,2,1,1,0,0,1,0
food,8.895,176.237,OUT045,1,1,1764.37,20,2,0,1,0,0,1,0
non-consumable,16.35,195.211,OUT013,0,2,2553.343,35,2,0,1,0,0,0,1
food,17.6,43.3454,OUT013,0,2,1006.6896,35,1,0,1,0,0,1,0
food,7.975,85.225,OUT013,0,2,1081.925,35,1,0,1,0,0,1,0
food,15.85,36.7164,OUT017,1,1,308.9312,15,1,0,1,0,0,1,0
food,15.7,178.666,OUT013,0,2,2516.724,35,1,0,1,0,0,1,0
food,8.985,128.831,OUT046,2,0,1428.141,25,1,1,1,0,0,1,0
food,20.35,260.1594,OUT013,0,2,2093.2752,35,2,0,1,0,0,1,0
food,6.59,85.6908,OUT013,0,2,1929.4884,35,2,0,1,0,0,1,0
food,19.85,264.0884,OUT035,2,1,5829.7448,18,1,0,1,0,0,1,0
food,16.85,91.4488,OUT046,2,0,2082.6224,25,1,0,1,0,0,1,0
food,12.792854228644991,173.1738,OUT027,1,2,7298.4996,37,1,0,0,0,1,1,0
food,16.75,256.4988,OUT013,0,2,7452.9652,35,2,0,1,0,0,1,0
food,17.6,110.5202,OUT017,1,1,450.0808,15,2,1,1,0,0,1,0
food,7.905,250.4408,OUT010,1,2,500.6816,24,1,0,0,0,0,1,0
food,12.792854228644991,126.202,OUT027,1,2,3668.558,37,1,0,0,0,1,1,0
food,7.785,103.1964,OUT018,1,2,736.3748,13,1,1,0,1,0,1,0
non-consumable,7.825,253.0698,OUT035,2,1,6088.0752,18,0,0,1,0,0,0,1
non-consumable,12.792854228644991,101.0016,OUT027,1,2,2125.2336,37,1,0,0,0,1,0,1
drinks,20.75,153.0024,OUT017,1,1,2277.036,15,1,0,1,0,0,0,0
food,12.792854228644991,190.3846,OUT019,2,0,573.2538,37,0,0,0,0,0,1,0
food,6.26,151.1366,OUT035,2,1,2267.049,18,1,1,1,0,0,1,0
food,18.2,147.3734,OUT010,1,2,296.9468,24,2,0,0,0,0,1,0
non-consumable,13.0,46.306,OUT018,1,2,559.272,13,2,0,0,1,0,0,1
food,20.25,222.1772,OUT035,2,1,5559.43,18,1,1,1,0,0,1,0
non-consumable,8.695,95.5094,OUT049,1,0,1237.7222,23,2,0,1,0,0,0,1
drinks,7.27,113.5518,OUT045,1,1,569.259,20,2,0,1,0,0,0,0
food,12.792854228644991,174.0712,OUT027,1,2,3866.9664,37,1,1,0,0,1,1,0
food,12.85,198.4768,OUT045,1,1,1379.5376,20,1,0,1,0,0,1,0
food,7.075,142.7128,OUT018,1,2,1869.5664,13,1,0,0,1,0,1,0
food,12.792854228644991,196.211,OUT027,1,2,5499.508,37,2,1,0,0,1,1,0
food,8.195,94.3462,OUT049,1,0,925.462,23,1,0,1,0,0,1,0
food,7.09,47.9034,OUT035,2,1,583.2408,18,1,0,1,0,0,1,0
non-consumable,6.095,141.4154,OUT046,2,0,1418.154,25,2,0,1,0,0,0,1
food,19.35,80.2644,OUT017,1,1,942.7728,15,1,1,1,0,0,1,0
food,6.15,99.3384,OUT046,2,0,2364.9216,25,1,0,1,0,0,1,0
food,12.792854228644991,87.9856,OUT027,1,2,3251.7672,37,1,1,0,0,1,1,0
food,12.792854228644991,125.2678,OUT019,2,0,254.3356,37,2,1,0,0,0,1,0
non-consumable,17.7,167.0474,OUT035,2,1,5895.659,18,1,0,1,0,0,0,1
food,17.85,93.7436,OUT018,1,2,1134.5232,13,0,0,0,1,0,1,0
drinks,9.395,224.972,OUT045,1,1,7696.648,20,0,0,1,0,0,0,0
drinks,15.75,250.5382,OUT017,1,1,2775.7202,15,0,0,1,0,0,0,0
food,7.475,241.2854,OUT045,1,1,5317.0788,20,0,0,1,0,0,1,0
food,7.075,98.0068,OUT018,1,2,874.8612,13,1,0,0,1,0,1,0
food,6.445,92.6436,OUT046,2,0,1039.9796,25,1,0,1,0,0,1,0
food,19.1,235.0958,OUT035,2,1,3038.0454,18,2,0,1,0,0,1,0
food,20.25,193.6162,OUT035,2,1,3848.324,18,1,1,1,0,0,1,0
food,15.0,59.1904,OUT046,2,0,527.3136,25,1,1,1,0,0,1,0
food,6.67,89.1514,OUT046,2,0,2390.8878,25,2,1,1,0,0,1,0
food,12.792854228644991,60.222,OUT027,1,2,1677.816,37,1,1,0,0,1,1,0
food,16.7,112.7176,OUT013,0,2,801.6232,35,1,1,1,0,0,1,0
food,7.07,115.5834,OUT045,1,1,1267.0174,20,2,0,1,0,0,1,0
food,6.48,148.0076,OUT045,1,1,886.8456,20,1,0,1,0,0,1,0
food,19.0,228.272,OUT010,1,2,452.744,24,0,1,0,0,0,1,0
food,13.35,147.5392,OUT045,1,1,3877.6192,20,0,0,1,0,0,1,0
food,12.792854228644991,146.6418,OUT027,1,2,4414.254,37,1,0,0,0,1,1,0
drinks,12.792854228644991,122.4388,OUT027,1,2,5448.9072,37,1,0,0,0,1,0,0
food,9.695,223.9404,OUT049,1,0,4950.8888,23,2,1,1,0,0,1,0
drinks,15.0,62.6168,OUT017,1,1,958.752,15,1,0,1,0,0,0,0
food,11.15,149.9708,OUT017,1,1,1956.1204,15,1,1,1,0,0,1,0
food,20.85,103.2306,OUT049,1,0,2404.2038,23,1,0,1,0,0,1,0
non-consumable,9.8,194.3478,OUT010,1,2,387.4956,24,0,0,0,0,0,0,1
